RouteClass,year,month,date,gas_price,monthly_riders,prediction,residual
SupportLoc,2015,9,2015-09-01,2.286,151388,150173.68001631077,1214.3199836892309
SupportLoc,2015,10,2015-10-01,2.38875,154531,153608.89589719314,922.1041028068576
SupportLoc,2015,11,2015-11-01,2.1304,137832,136788.52000339085,1043.4799966091523
SupportLoc,2015,12,2015-12-01,1.8845,135880,131961.46447216283,3918.5355278371717
SupportLoc,2016,1,2016-01-01,1.7545,129578,129872.74191368754,-294.74191368753964
SupportLoc,2016,2,2016-02-01,1.6052,138856,132513.95292987194,6342.047070128057
SupportLoc,2016,3,2016-03-01,1.95075,146445,148134.94694715494,-1689.9469471549382
SupportLoc,2016,4,2016-04-01,1.9625,143448,142749.042099957,698.9579000429949
SupportLoc,2016,5,2016-05-01,2.1708000000000003,145604,146878.42518211316,-1274.425182113162
SupportLoc,2016,6,2016-06-01,2.25325,128740,128985.58984156401,-245.5898415640113
SupportLoc,2016,7,2016-07-01,2.1165,116191,119970.95450208033,-3779.9545020803344
SupportLoc,2016,8,2016-08-01,2.1438,130482,129442.31941514753,1039.6805848524673
SupportLoc,2016,9,2016-09-01,2.1715,148992,149850.0666554892,-858.0666554892086
SupportLoc,2016,10,2016-10-01,2.1396,147550,152904.71887668053,-5354.718876680534
SupportLoc,2016,11,2016-11-01,1.99075,137424,136393.824755891,1030.1752441090066
SupportLoc,2016,12,2016-12-01,2.107,124673,132590.32012965452,-7917.320129654516
SupportLoc,2017,1,2017-01-01,2.3032,135198,131423.54235982546,3774.4576401745435
SupportLoc,2017,2,2017-02-01,2.25975,134908,134363.91908992222,544.0809100777842
SupportLoc,2017,3,2017-03-01,2.253,151386,148989.20143019702,2396.7985698029806
SupportLoc,2017,4,2017-04-01,2.30075,133648,143705.04401522246,-10057.044015222462
SupportLoc,2017,5,2017-05-01,2.2923999999999998,148979,147222.10539762324,1756.894602376764
SupportLoc,2017,6,2017-06-01,2.2595,132423,129003.254326325,3419.7456736750028
SupportLoc,2017,7,2017-07-01,2.2282,119073,120286.65417372897,-1213.6541737289663
SupportLoc,2017,8,2017-08-01,2.299,127866,129880.96390073275,-2014.9639007327496
