"","MMSI","LON","LAT"
"755",316005971,-84.40325,46.50184
"756",366863870,-72.35662,41.09503
"757",366941830,-94.86934,29.37659
"758",368084090,-90.20371,29.92379
"759",316005971,-84.40321,46.50184
"760",367614790,-157.87821,21.31669
"761",366863870,-72.35817,41.08868
"762",316005971,-84.40323,46.50184
"763",368140160,-87.1443,30.33476
"764",366863870,-72.35725,41.09708
"765",366863870,-72.35887,41.09893
"766",368084090,-90.20768,29.92383
"767",368084090,-90.20574,29.92371
"768",368084090,-90.18321,29.93457
"769",368084090,-90.2109,29.92508
"770",316005971,-84.40322,46.50182
"771",338379253,-117.89591,33.61999
"772",366863870,-72.35819,41.08752
"773",316005971,-84.40321,46.50183
"774",368195460,-122.37758,37.77157
"775",366941830,-94.86821,29.37694
"776",366863870,-72.36003,41.09954
"777",366941830,-94.7861,29.31838
"778",366941830,-94.8678,29.37589
"779",368195460,-122.38467,37.78013
"780",316005971,-84.40324,46.50183
"781",368118150,-122.32989,47.39791
"782",367614790,-157.8782,21.31669
"783",368084090,-90.20942,29.92423
"784",367614790,-157.8782,21.31669
"785",366863870,-72.36092,41.09983
"786",366863870,-72.35818,41.08752
"787",368118150,-122.33003,47.39781
"788",368195460,-122.38572,37.77772
"789",316005971,-84.40324,46.50183
"790",368084090,-90.19794,29.92593
"791",368140160,-87.1443,30.33476
"792",316005971,-84.40323,46.50182
"793",368195460,-122.38057,37.77507
"794",368084090,-90.19391,29.92799
"795",366941830,-94.87025,29.37611
"796",368195460,-122.38482,37.77705
"797",338379253,-117.8959,33.61998
"798",366941830,-94.86804,29.37627
"799",316005971,-84.40323,46.50181
"800",316005971,-84.40324,46.50182
"801",368140160,-87.1443,30.33476
"802",366941830,-94.78609,29.31839
"803",366863870,-72.3615,41.1
"804",316005971,-84.40322,46.50181
"805",366941830,-94.87024,29.37613
"806",368118150,-122.32994,47.39788
"807",338379253,-117.89592,33.61998
"808",368084090,-90.19968,29.92498
"809",368084090,-90.21856,29.93578
"810",368140160,-87.1443,30.33476
"811",366863870,-72.36152,41.10003
"812",366941830,-94.86781,29.37584
"813",368195460,-122.38485,37.78085
"814",368195460,-122.38593,37.7808
"815",368084090,-90.21339,29.92789
"816",316005971,-84.40322,46.50182
"817",366941830,-94.8702,29.37611
"818",368118150,-122.32991,47.39789
"819",367614790,-157.87818,21.31669
"820",366941830,-94.86983,29.37628
"821",366941830,-94.87025,29.37612
"822",368084090,-90.20161,29.92413
"823",316005971,-84.40322,46.50182
"824",368084090,-90.21446,29.9295
"825",338379253,-117.89589,33.61999
"826",366941830,-94.86782,29.37588
"827",316005971,-84.40321,46.50181
"828",368140160,-87.1443,30.33476
"829",367614790,-157.87821,21.3167
"830",368195460,-122.38487,37.77877
"831",316005971,-84.40326,46.50181
"832",368084090,-90.22008,29.93935
"833",316005971,-84.40326,46.50183
"834",368084090,-90.11347,29.91043
"835",368118150,-122.32989,47.39791
"836",368140160,-87.1443,30.33476
"837",366863870,-72.35819,41.08752
"838",316005971,-84.40324,46.50182
"839",366863870,-72.35917,41.0985
"840",367614790,-157.87823,21.31668
"841",366941830,-94.86782,29.37584
"842",316005971,-84.40324,46.50181
"843",316005971,-84.40323,46.50183
"844",366863870,-72.35818,41.08769
"845",316005971,-84.40326,46.50187
"846",366863870,-72.36149,41.1
"847",366863870,-72.35818,41.0889
"848",368084090,-90.22145,29.94315
"849",368084090,-90.2193,29.93755
"850",338379253,-117.89588,33.62
"851",338379253,-117.8959,33.62
"852",316005971,-84.40322,46.50182
"853",366941830,-94.86955,29.37674
"854",368084090,-90.22728,29.95468
"855",316005971,-84.40322,46.50182
"856",338379253,-117.89591,33.61998
"857",366941830,-94.86791,29.376
"858",368195460,-122.38568,37.78068
"859",368118150,-122.32997,47.39793
"860",366941830,-94.8702,29.37607
"861",368084090,-90.2244,29.95068
"862",316005971,-84.40322,46.50183
"863",366863870,-72.35916,41.09485
"864",316005971,-84.40325,46.50184
"865",316005971,-84.40322,46.50178
"866",368084090,-90.21545,29.93116
"867",316005971,-84.40321,46.50182
"868",338379253,-117.8959,33.62
"869",368195460,-122.38568,37.78067
"870",368084090,-90.23395,29.96089
"871",366863870,-72.35876,41.09082
"872",368195460,-122.3857,37.78068
"873",366941830,-94.86959,29.37648
"874",366941830,-94.86975,29.37615
"875",338379253,-117.89591,33.61999
"876",366863870,-72.35814,41.08812
"877",366941830,-94.87022,29.37613
"878",368084090,-90.22279,29.94704
"879",368084090,-90.23569,29.96231
"880",367614790,-157.87821,21.31668
"881",366941830,-94.86887,29.3768
"882",368084090,-90.22867,29.95623
"883",366863870,-72.35727,41.09015
"884",338379253,-117.89592,33.61999
"885",316005971,-84.40326,46.50184
"886",368084090,-90.23231,29.9595
"887",368084090,-90.21778,29.9341
"888",368118150,-122.32999,47.3979
"889",368118150,-122.32995,47.39791
"890",338379253,-117.89589,33.61997
"891",366941830,-94.86972,29.37602
"892",366863870,-72.35894,41.09676
"893",366941830,-94.87022,29.37606
"894",316005971,-84.40324,46.50183
"895",368118150,-122.32999,47.39788
"896",368118150,-122.32991,47.39794
"897",366863870,-72.36149,41.09999
"898",316005971,-84.40328,46.50182
"899",366863870,-72.35816,41.08758
"900",367614790,-157.87819,21.3167
