ID,TYPE,CORRIDOR,YR_START1,YR_END1,YR_START2,PRIV_ROW,Shape_Leng
116,Streetcar,Johnson St NE,1891,19501954,0,FALSE,562.052789766
332,Streetcar,Johnson St NE,1891,19501954,0,FALSE,281.896001847
338,Streetcar,Johnson St NE,1890,19501954,0,FALSE,2421.44687466
341,Streetcar,Johnson St NE,1912,19501954,0,FALSE,2169.87766303
344,Streetcar,Johnson St NE,1891,19501954,0,FALSE,1696.19790622
52,Streetcar,Kenwood,1890,1938,0,FALSE,4330.97392719
305,Streetcar,Kenwood_StLouisPark,1891,19501954,0,FALSE,4794.32828531
390,Streetcar,Kenwood_StLouisPark,1898,1907,0,FALSE,969.952585851
103,Streetcar,Maria,1914,19501954,0,FALSE,968.131360061
121,Streetcar,Maria,1894,1909,0,FALSE,286.547443141
144,Streetcar,Maria,1949,19501954,0,FALSE,194.061452012
145,Streetcar,Maria,1891,19501954,0,FALSE,824.348929758
146,Streetcar,Maria,1891,19501954,0,FALSE,1148.45640322
147,Streetcar,Maria,1891,1949,0,FALSE,227.054250101
285,Streetcar,Maria,1889,19501954,0,FALSE,2124.27136256
108,Streetcar,Minnehaha,1905,19501954,0,TRUE,1712.76784311
110,Streetcar,Minnehaha,1905,1930,0,TRUE,807.142909329
293,Streetcar,Minnehaha,1890,19501954,0,FALSE,1998.00872449
348,Streetcar,Minnehaha,1891,19501954,0,FALSE,289.909683346
350,Streetcar,Minnehaha,1890,19501954,0,FALSE,2262.13638817
354,Streetcar,Minnehaha,1909,19501954,0,TRUE,1966.69516172
382,Streetcar,Minnehaha,1930,19501954,0,FALSE,1603.59320502
383,Streetcar,Minnehaha,1915,1917,1930,FALSE,508.841951324
384,Streetcar,Minnehaha,1915,1917,0,TRUE,1179.45468514
95,Streetcar,Mississippi St,1923,19501954,0,FALSE,803.860563423
280,Streetcar,Mississippi St,1890,19501954,0,FALSE,6015.6588552
23,Streetcar,Monroe St NE,1931,19501954,0,FALSE,755.184708663
24,Streetcar,Monroe St NE,1923,19501954,0,FALSE,542.080070495
329,Streetcar,Monroe St NE,1920,19501954,0,FALSE,3102.01494905
332,Streetcar,Monroe St NE,1891,19501954,0,FALSE,2307.87816926
38,Streetcar,Nicollet,1947,19501954,0,FALSE,799.012289718
39,Streetcar,Nicollet,1928,19501954,0,FALSE,677.51376513
40,Streetcar,Nicollet,1911,19501954,0,FALSE,986.05157388
41,Streetcar,Nicollet,1890,19501954,0,FALSE,8316.72669855
31,Streetcar,NW Terminal,1921,1948,0,FALSE,910.729653425
116,Streetcar,NW Terminal,1891,19501954,0,FALSE,562.052789766
338,Streetcar,NW Terminal,1890,19501954,0,FALSE,2724.73468558
101,Streetcar,Payne Ave,1917,1948,0,FALSE,955.648838339
102,Streetcar,Payne Ave,1927,1948,0,FALSE,1448.69628098
132,Streetcar,Payne Ave,1891,1905,0,FALSE,199.85532966
161,Streetcar,Payne Ave,1905,19501954,0,FALSE,795.600144314
238,Streetcar,Payne Ave,1891,19501954,0,FALSE,1632.87007154
239,Streetcar,Payne Ave,1891,1898,0,FALSE,304.749372317
240,Streetcar,Payne Ave,1891,19501954,0,FALSE,1711.01725287
241,Streetcar,Payne Ave,1898,19501954,0,FALSE,307.013
284,Streetcar,Payne Ave,1889,19501954,0,FALSE,294.261081788
285,Streetcar,Payne Ave,0,19501954,0,FALSE,1498.65413599
0,Streetcar,Penn_Fremont,1923,19501954,0,FALSE,803.065604373
1,Streetcar,Penn_Fremont,1914,19501954,0,FALSE,435.527547891
2,Streetcar,Penn_Fremont,1926,19501954,0,FALSE,950.09837757
3,Streetcar,Penn_Fremont,1922,19501954,0,FALSE,401.321169469
4,Streetcar,Penn_Fremont,1912,19501954,0,FALSE,1240.26534422
5,Streetcar,Penn_Fremont,1907,19501954,0,FALSE,892.444008654
6,Streetcar,Penn_Fremont,1891,19501954,0,FALSE,1557.65228384
7,Streetcar,Penn_Fremont,1911,19501954,0,FALSE,1205.01679694
12,Streetcar,Penn_Fremont,1920,19501954,0,FALSE,4878.87280688
172,Streetcar,Penn_Fremont,1892,19501954,0,FALSE,396.923183133
190,Streetcar,Penn_Fremont,1891,19501954,0,FALSE,2013.58225437
319,Streetcar,Penn_Fremont,1891,1920,0,FALSE,3880.72781994
100,Streetcar,Phalen,1913,19501954,0,FALSE,2133.57942728
276,Streetcar,Phalen,1889,19501954,0,FALSE,3463.38199576
13,Streetcar,Plymouth Ave,1912,19501954,0,FALSE,302.574840243
187,Streetcar,Plymouth Ave,1891,19501954,0,FALSE,2124.88794934
387,Streetcar,Plymouth Ave,1890,19501954,0,FALSE,2581.10767471
77,Streetcar,Randolph,1924,19501954,0,FALSE,1786.99729205
